"","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","ocupacao.outra","nomeservico","tempodeservico","religiao","religiao.outra","contatoanterior","lidadiretamente","lida.onde","lida.outros","motivocurso","motivo.outros","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","autoavaliacao","part.outrocurso","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps032","ps033","ps034","ps035","ps036","ps037","ps038","ps039"
"1","Finalizadas","4 junho 2014  17:05","8 junho 2014  20:19","4 dias 3 horas","Sim","50","Feminino","Pós-graduação","Casado (a)","não","pós graduada","Professor (a)","não","professora de educação religiosa e história","20","Católica","não","Não","Não",NA,"não","Para aquisição de conhecimento na área","não","Muito adequado","Flexível","Importante 

 ","Muito organizado","Às vezes","Sim, considero","Não","2","4","2","2","3","2","2","2","2","2","1","2","4","4","3","2","4","2","4","2","1","3","1","2","2","1","1","4","5","2","3","4","4","4","2","2","2","2","2"
"2","Finalizadas","4 junho 2014  17:05","8 junho 2014  16:20","3 dias 23 horas","Sim","45","Feminino","Pós-graduação","Casado (a)",NA,NA,"Professor (a)",NA,NA,"27","Católica",NA,"Sim","Não",NA,NA,"Por ser uma oportunidade de formação continuada. 

 ",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","2","2","4","2","2","2","3","2","2","2","2","3","3","4","3","3","3","4","4","3","2","3","2","3","3","3","2","4","3","3","2","3","2","3","2","3","2","3","3"
"3","Finalizadas","4 junho 2014  17:15","4 junho 2014  17:30","14 minutos 47 segundos","Sim","55","Feminino","Pós-graduação","Casado (a)",NA,"Pedagogia","Professor (a)",NA,NA,"17","Católica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","4","3","3","3","3","3","3","2","2"
"4","Finalizadas","4 junho 2014  17:15","4 junho 2014  17:29","14 minutos 10 segundos","Sim","28","Feminino","Pós-graduação","Casado (a)",NA,"Enfermeira especialista em saúde pública, urgência e emergência e terapia intensiva.","Professor (a)",NA,"Professora de Biologia","2","Espírita",NA,"Sim","Sim","Escola",NA,"Por ser uma oportunidade de formação continuada. 

 ",NA,"Muito adequado","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Sim","1","4","2","2","2","2","2","1","1","2","2","2","2","4","2","1","2","2","5","4","2","2","1","1","4","1","2","5","5","1","5","5","4","5","5","1","1","1","2"
"5","Finalizadas","4 junho 2014  17:23","4 junho 2014  17:31","8 minutos 42 segundos","Sim","33","Feminino","Ensino Superior Completo","Casado (a)","x","Historia - licenciatura e bacharelado","Professor (a)","x","ensino","10","Católica","x","Não","Não","Outros","x","Por ser uma oportunidade de formação continuada. 

 ","x","Adequado 

 ","Flexível","Pouco importante 

 ","Organizado","Sempre","Sim, considero","Não","2","4","2","2","2","2","2","2","2","2","2","2","2","4","2","3","3","2","4","2","2","2","2","2","2","2","2","4","4","4","4","4","4","4","4","2","2","1","2"
"6","Finalizadas","4 junho 2014  17:24","5 junho 2014  15:50","22 horas 25 minutos","Sim","59","Feminino","Ensino Superior Completo","Casado (a)",NA,"Pedagoga","Professor (a)",NA,"Secretaria da Educação Estadual","8 anos","Católica",NA,"Sim","Sim","Família","Escola","Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Às vezes","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","3","3","3","2","2","2","2","2","2","3","3","3","3","5","3","1","3","2","4","4","5","3","1","2","2","2","2","5","5","3","4","5","4","4","4","2","1","1","2"
"7","Finalizadas","4 junho 2014  17:25","15 junho 2014  07:10","10 dias 13 horas","Sim","41","Feminino","Ensino Superior Incompleto","Solteiro (a)",NA,"Ensino Médio Técnico em Contabilidade e Cursando superior Licenciatura Letras Português","Professor (a)","Além de professora trabalho como ATB(Auxiliar Técnico da Educação Básica)","Docência e Secretaria","8 anos","Católica",NA,"Sim","Não",NA,NA,"Para aquisição de conhecimento na área",NA,"Adequado 

 ","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","1","4","3","1","4","1","1","2","1","1","1","1","4","5","4","1","3","1","2","3","3","4","1","1","1","1","1","5","5","2","2","4","4","4","4","1","1","1","1"
"8","Finalizadas","4 junho 2014  17:32","4 junho 2014  17:49","16 minutos 50 segundos","Sim","48","Feminino","Ensino Superior Completo","Casado (a)",NA,"Professora","Professor (a)",NA,"Escola Especial","13","Católica",NA,"Não","Não",NA,NA,"Identificação profissional com o tema.",NA,"Muito adequado","Pouquíssimo flexível","Pouco importante 

 ","Muito organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Sim","3","1","2","4","4","2","2","1","4","2","4","1","3","5","4","1","4","1","4","2","2","4","1","2","1","2","2","4","4","2","4","4","4","4","4","2","2","2","2"
"9","Finalizadas","4 junho 2014  17:33","15 junho 2014  22:15","11 dias 4 horas","Sim","36","Feminino","Ensino Superior Completo","Casado (a)",NA,NA,"Professor (a)",NA,NA,"13","Outras","testemunha de Jeová","Sim","Não",NA,NA,"Por ser uma oportunidade de formação continuada. 

 ",NA,"Muito adequado","Flexível","Importante 

 ","Muito organizado","Sempre","Sim, considero, porém, poderia estar me esforçando mais. 

Sim, considero, porém, poderia estar me esforçando mais 

 ","Não","2","4","3","2","2","2","2","1","3","3","2","2","3",NA,NA,"1","3","2","3","3","1","2","1","1","3","1","1","4","4","2","4","4","4","4","4","3","2","1","2"
"10","Finalizadas","4 junho 2014  17:36","5 junho 2014  14:40","21 horas 4 minutos","Sim","42","Feminino","Pós-graduação","União Estável","não","PEDAGOGIA","Professor (a)","SECRETÁRIA","PROFESSORA DO 3º ANO DO ENSINO FUNDAMENTAL","2","Sem religião","NÃO","Sim","Sim","Família","NENHUM","Para aquisição de conhecimento na área","NENHUM","Muito adequado","Flexível","Importante 

 ","Organizado","Sempre","Sim, considero","Não","3","4","4","3","3","3","4","3","1","2","2","4","2","5","4","2","4","3","4","4","3","4","2","2","2","2","2","5","3","3","3","4","2","3","3","3","1","1","4"
