"","instituicao","depto","estado","iniciado","completo","tempo","termo","idade","sexo","escolaridade","estadocivil","estadocivil.outros","formacao","ocupacao","servico","tempodeservico","religiao","religiao.outras","contato.tema","lida.com","onde.lida.com","lida.com.outros","ps001","ps002","ps003","ps004","ps005","ps006","ps007","ps008","ps009","ps010","ps011","ps012","ps013","ps014","ps015","ps016","ps017","ps018","ps019","ps020","ps021","ps022","ps023","ps024","ps025","ps026","ps027","ps028","ps029","ps030","ps031","ps032","ps033","ps034","ps035","ps036","ps037","ps038","ps039","ps040","ps041","ps042"
"1","",NA,"Finalizadas","6 maio 2014  10:01","9 maio 2014  08:53","2 dias 22 horas","Sim","47","Masculino","Pós-graduação","Casado (a)",NA,"Pedagogo formado pela UFJF com pós-graduação lato sensu em Mídia e Deficiência pela UFJF","Professor e tutor a distância","Escola Municipal Georg Rodenbach e Universidade Federal de Juiz de Fora","13","Outras","Me defino como Espiritualista, pois acredito que todas que creem em reencarnação tem algo a contribuir, embora tenha afinidade maior com a Espírita","Sim","Não","Escola",NA,"2","4","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","2","3"
"2","",NA,"Finalizadas","6 maio 2014  10:24","6 maio 2014  10:45","20 minutos 29 segundos","Sim","42","Feminino","Pós-graduação","Casado (a)",NA,"Licenciatura","atualmente, do lar e tutora.","Professora de educação física","20 anos","Católica",NA,"Sim","Não",NA,NA,"3","4","4","3","3","3","3","2","2","2","2","2","2","4","2","2","4","3","4","4","4","4","2","5","4","4","3","3","3","3","4","4","2","2","5","4","3","3","3","2","2","2"
"3","",NA,"Finalizadas","6 maio 2014  14:20","6 maio 2014  14:39","18 minutos 59 segundos","Sim","28","Feminino","Pós-graduação","Solteiro (a)",NA,"Graduação e Mestrado em Ciências Sociais","Professora","Educação Pública","1","Espírita",NA,"Não","Não",NA,NA,"3","4","4","2","2","1","3","4","1","2","2","2","2","3","1","2","1","2","1","2","3","4","2","3","4","1","2","4","4","3","5","2","4","3","4","3","4","3","4","1","1","2"
"4","",NA,"Em progresso","7 maio 2014  12:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","",NA,"Finalizadas","7 maio 2014  13:00","7 maio 2014  13:20","19 minutos 33 segundos","Sim","40","Feminino","Pós-graduação","Solteiro (a)",NA,NA,"professora","regência","12","Espírita",NA,"Sim","Sim","Escola",NA,"2","1","4","2","4","2","2","2","2","1","4","2","2","4","5","2","1","4","2","4","4","3","4","4","2","2","2","2","2","1","4","5","3","2","3","4","4","4","2","2","4","2"
"6","",NA,"Finalizadas","7 maio 2014  13:04","7 maio 2014  13:39","35 minutos 19 segundos","Sim","41","Feminino","Pós-graduação","Divorciado (a)","NÃO","GRADUADA EM LETRAS PELA UFJF E ESPECIALISTA EM METODOLOGIA DO ENSINO DE LÍNGUA PORTUGUESA","FUNCIONÁRIA PÚBLICA - MUNICIPAL","PROFESSORA : 1 CARGO NA EDUCAÇÃO INFANTIL E O OUTRO NO EJA (SEMIPRESENCIAL)","14","Evangélica","NÃO","Não","Sim","Família","VIZINHO","2","2","2","4","4","3","2","2","1","5","5","1","2","1","5","4","1","4","1","2","5","4","4","2","3","1","1","2","1","2","4","5","2","2","4","4","5","4","4","1","2","2"
"7","",NA,"Finalizadas","7 maio 2014  13:17","7 maio 2014  13:28","11 minutos 18 segundos","Sim","42","Feminino","Pós-graduação","Casado (a)",NA,"Doutoranda em Literatura, Mestre em Literatura e graduada em Matemática","Professora","Ensino superior","17","Espírita",NA,"Não","Não",NA,NA,"3","4","5","3","2","3","3","4","1","4","4","4","2","4","4","4","3","5","4","4","4","2","1","4","4","3","2","4","2","2","4","2","4","4","4","1","4","3","4","2","2","4"
"8","",NA,"Finalizadas","7 maio 2014  13:37","9 maio 2014  13:29","1 dia 23 horas","Sim","31","Feminino","Pós-graduação","Solteiro (a)","----------","Filosofia","Professora","Professora Regente de Filosofia no Ensino Médio","5","Católica","-----------","Não","Sim","Família","-----------------","4","4","3","1","4","3","2","3","2","2","2","3","3","2","4","4","3","4","3","5","5","5","2","3","3","4","4","5","3","4","4","4","4","3","1","3","3","3","2","1","2","3"
"9","",NA,"Finalizadas","7 maio 2014  13:51","7 maio 2014  15:16","1 hora 25 minutos","Sim","26","Feminino","Pós-graduação","Solteiro (a)",NA,"Especialista em Psicopedagogia","Coordenadora Pedagógica","Coordenadora Pedagógica","4","Católica",NA,"Sim","Sim","Família",NA,"3","2","3","2","1","2","2","2","1","1","4","2","3","2","4","3","3","4","3","3","4","1","1","4","3","1","1","3","2","1","5","5","3","4","4","3","4","4","4","2","1","2"
"10","",NA,"Finalizadas","7 maio 2014  14:03","7 maio 2014  14:09","6 minutos 6 segundos","Sim","47","Feminino","Pós-graduação","Casado (a)",NA,"História","Consultora","Consultoria","4","Sem religião",NA,"Não","Não",NA,NA,"3","2","2","2","3","2","2","2","1","1","1","1","1","3","5","2","1","2","1","2","5","2","1","4","2","2","2","2","2","1","4","5","3","4","5","4","4","5","2","1","1","2"
"11","",NA,"Finalizadas","7 maio 2014  14:08","13 maio 2014  20:00","6 dias 5 horas","Sim","44","Feminino","Pós-graduação","Casado (a)",NA,"LETRAS","PROFESSORA","LECIONAR","5","Sem religião",NA,"Não","Não",NA,NA,"2","4","4","1","2","1","2","2","1","1","3","1","2","4","5","1","1","4","2","4","4","2","1","1","3","1","1","5","2","1","5","5","2","5","5","5","5","5","3","1","1","1"
"12","",NA,"Finalizadas","7 maio 2014  14:30","7 maio 2014  14:49","18 minutos 49 segundos","Sim","3","Feminino","Pós-graduação","Casado (a)",NA,"Mestre em Teoria da Literatura","Professora","Professora de Língua Portuguesa e Literatura do Ensino Fundamental","10","Católica",NA,"Sim","Sim","Família",NA,"2","1","3","2","1","1","2","1","4","1","2","2","2","2","4","4","2","2","2","1","5","4","2","2","2","2","2","2","2","1","4","4","2","4","5","2","4","3","2","2","2","2"
"13","",NA,"Finalizadas","7 maio 2014  15:09","7 maio 2014  15:36","27 minutos 30 segundos","Sim","43","Feminino","Ensino Superior Completo","Solteiro (a)",NA,"Tecnologo em Processamento de dados e Pedagogia","Professora","Escola Municipal Dr. Custodio Junqueira e Escola Estadual Professor Luis Antonio Pires de Souza","10","Sem religião",NA,"Sim","Sim","Escola",NA,"3","4","2","2","4","4","2","2","2","3","2","2","4","2","4","4","2","4","3","4","4","4","2","4","4","2","2","2","2","2","4","4","3",NA,"2","2","2","4","2","2","2","3"
"14","",NA,"Finalizadas","7 maio 2014  15:09","9 maio 2014  10:59","1 dia 19 horas","Sim","29","Feminino","Pós-graduação","Solteiro (a)",NA,"Enfermeira","Professora de enfermagem","Senac e Impacto","4","Católica",NA,"Não","Não",NA,NA,"2","2","3","3","4","3","2","2","2","3","4","2","3","3","4","4","2","4","3","1","4","5","2","5","4","2","2","3","2","1","4","4","3","4","4","4","4","3","4","2","1","3"
"15","",NA,"Finalizadas","7 maio 2014  15:34","10 maio 2014  20:50","3 dias 5 horas","Sim","53","Feminino","Pós-graduação","Casado (a)",NA,"Normal Superior","Professora","Escola","19","Católica",NA,"Sim","Sim","Família",NA,"2","2","4","3","4","4","4","3","2","2","2","2","4","1","4","2","2","4","4","2","4","4","4","4","4","2","2","2","2","2","4","4","2","2","4","2","2","4","5","1","5","2"
"16","",NA,"Finalizadas","7 maio 2014  16:23","7 maio 2014  16:32","9 minutos 8 segundos","Sim","32","Feminino","Pós-graduação","Casado (a)",NA,NA,"Professora","educação","7 anos","Sem religião",NA,"Sim","Sim","Família","nenhum","1","4","1","1","1","1","1","2","1","1","2","2","2","2","4","4","2","1","1","1","4","4","1","5","2","2","3","4","1","1","5","4","3","4","5","2","5","3","4","1","1","5"
"17","",NA,"Finalizadas","7 maio 2014  16:25","7 maio 2014  16:33","7 minutos 51 segundos","Sim","44","Feminino","Pós-graduação","Casado (a)",NA,"mestrado em educação","professora","escola","18","Católica",NA,"Não","Não",NA,NA,"2","4","4","2","2","2","2","2","2","2","2","2","2","4","4","4","2","2","2","2","4","2","1","2","2","2","2","2","2","1","4","4","3","2","4","3","3","3","2","2","2","2"
"18","",NA,"Em progresso","7 maio 2014  17:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
